symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,run_name,run_ts,target_value_usd,target_weight
IDYA,Increase,37,26.83,Posterior conditioned on 14d sentiment,41,78,0.16079153241967248,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,2092.74,0.04115293666517543
LKQ,New,33,30.3,Posterior conditioned on 14d sentiment,0,33,0.09393156906991451,0.027346753395387266,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,999.9,0.019662653445487215
LNTH,New,19,50.61,Posterior conditioned on 14d sentiment,0,19,0.14669656147401744,0.12126335997484715,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,961.59,0.018909301856831734
LVO,Keep,0,4.82,Posterior conditioned on 14d sentiment,0,0,0.25,0.15,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
LW,Keep,0,55.22,Posterior conditioned on 14d sentiment,0,0,0.03614507985594084,0.05073667338392824,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
MA,New,1,565.13,Posterior conditioned on 14d sentiment,0,1,0.02535823206598664,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,565.13,0.011113066648313021
MANH,Keep,0,211.56,Posterior conditioned on 14d sentiment,0,0,0.013721031945187923,0.03840574058769,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
MATV,Keep,0,11.41,Posterior conditioned on 14d sentiment,0,0,0.06189603240956765,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
MAX,Keep,0,12.04,Posterior conditioned on 14d sentiment,180,180,0.05616100089900389,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,2167.2,0.04261716426348624
MD,Keep,0,16.3,Posterior conditioned on 14d sentiment,0,0,0.0003017957186761677,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
MDB,Keep,0,318.41,Posterior conditioned on 14d sentiment,0,0,0.018786244824509746,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
MDLZ,Keep,0,63.36,Posterior conditioned on 14d sentiment,0,0,0.04015390024464516,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,0.0,0.0
MDXG,New,144,6.94,Posterior conditioned on 14d sentiment,0,144,0.14132080771405509,0.02,RunSept27-Manual-20250927-1314UTC,20250927-1314UTC,999.36,0.019652034550737177
