symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
AAPL,1,Keep in portfolio,23,0,23,257.13,5913.99,0.0,5913.99,0.08137070099450189,8.137070099450188,0.0,0.0
ALIT,1,Keep in portfolio,700,0,700,3.21,2247.0,0.0,2247.0,0.030916515776091225,3.0916515776091225,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,222.41,11120.5,0.0,11120.5,0.15300717120072205,15.300717120072205,0.0,0.0
ARDT,1,Keep in portfolio,190,0,190,13.19,2506.1,0.0,2506.1,0.03448147760857242,3.4481477608572417,0.0,0.0
AVGO,1,Keep in portfolio,13,0,13,338.18,4396.34,0.0,4396.34,0.060489325753031106,6.048932575303111,0.0,0.0
AXON,1,Keep in portfolio,2,0,2,720.53,1441.06,0.0,1441.06,0.01982757197342858,1.982757197342858,0.0,0.0
BWMX,1,Keep in portfolio,80,0,80,13.03,1042.3999999999999,0.0,1042.3999999999999,0.014342401444146636,1.4342401444146635,0.0,0.0
COP,1,Keep in portfolio,25,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,11.21,2242.0,0.0,2242.0,0.03084772068090633,3.084772068090633,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,23.19,3478.5,0.0,3478.5,0.04786074772013054,4.786074772013054,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,24.06,4090.2,0.0,4090.2,0.056277139665050435,5.627713966505043,0.0,0.0
CVS,1,Keep in portfolio,35,0,35,73.32,2566.2,0.0,2566.2,0.035308394652694836,3.5308394652694837,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,82.11,1970.6399999999999,0.0,1970.6399999999999,0.02711407327503178,2.7114073275031783,0.0,0.0
IDYA,1,Keep in portfolio,41,0,41,25.76,1056.16,0.0,1056.16,0.014531725546095466,1.4531725546095466,0.0,0.0
INSW,1,Keep in portfolio,22,0,22,46.04,1012.88,0.0,1012.88,0.013936235202175025,1.3936235202175025,0.0,0.0
MAX,1,Keep in portfolio,180,0,180,13.41,2413.8,0.0,2413.8,0.033211520151459284,3.3211520151459286,0.0,0.0
MU,1,Keep in portfolio,13,0,13,118.72,1543.36,0.0,1543.36,0.021235119620911503,2.1235119620911505,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,170.62,8872.24,0.0,8872.24,0.12207331906064424,12.207331906064423,0.0,0.0
PRCT,1,Keep in portfolio,55,0,55,34.8,1913.9999999999998,0.0,1913.9999999999998,0.026334762436777303,2.6334762436777304,0.0,0.0
PRU,1,Keep in portfolio,20,0,20,101.94,2038.8,0.0,2038.8,0.02805188801259225,2.805188801259225,0.0,0.0
QUAD,1,Keep in portfolio,155,0,155,6.05,937.75,0.0,937.75,0.012902520101926811,1.290252010192681,0.0,0.0
RCI,1,Keep in portfolio,28,0,28,35.15,984.1999999999999,0.0,984.1999999999999,0.013541626536194474,1.3541626536194473,0.0,0.0
SPGI,1,Keep in portfolio,9,0,9,507.16,4564.4400000000005,0.0,4564.4400000000005,0.06280221685314724,6.280221685314724,0.0,0.0
UAL,1,Keep in portfolio,22,0,22,94.83,2086.2599999999998,0.0,2086.2599999999998,0.02870489105608726,2.870489105608726,0.0,0.0
ASML,0,New,0,1,1,1030.17,0.0,1030.17,1030.17,0.014174128641324389,1.4174128641324388,0.45973723435589403,45.973723435589406
NFLX,0,New,0,1,1,1210.61,0.0,1210.61,1210.61,0.01665680603635683,1.665680603635683,0.5402627656441061,54.026276564410615
