symbol,in_portfolio,action,add_shares,price_run
ALIT,1,Increase,433,3.26
ARDT,1,Increase,96,13.25
AXON,1,Increase,2,717.64
COP,1,Increase,14,94.59
CVS,1,Increase,15,75.39
IDYA,1,Increase,81,27.21
INSW,1,Increase,50,46.08
MAX,1,Increase,136,11.38
MU,1,Increase,8,167.32
PRCT,1,Increase,44,35.69
PRU,1,Increase,14,103.74
QUAD,1,Increase,378,6.26
RCI,1,Increase,68,34.47
UAL,1,Increase,15,96.5
