date,quarter,status,infl_yoy,gdp_qoq,buffett_z,portfolio_ret,port_ret_actual,port_ret_target,sharpe_actual,sharpe_target
2020-09-30,2020-Q3,actual,1.3910228912373812,4.599861466383803,0.18320673049792102,0.20329714397017856,0.12078276897548346,0.20329714397017856,-0.05438684898951349,0.391614776744443
2020-12-31,2020-Q4,actual,1.3204191315779434,2.411582269108603,0.907268896506553,0.1607088155831848,0.25339734937844627,0.1607088155831848,0.2134009611433168,0.4569810376850838
2021-03-31,2021-Q1,actual,2.623645747764214,-0.011201184474352033,1.1066112090580822,0.14385726869570176,0.22888888015443265,0.14385726869570176,0.3878731576645513,0.5263918387224398
2021-06-30,2021-Q2,actual,5.317418943207719,1.482184557131938,1.4292944500500449,0.18931679715992514,0.1709483280821522,0.18931679715992514,0.41002746791072536,0.579983520562175
2021-09-30,2021-Q3,actual,5.363523425270289,-0.6551040007707121,1.2255349434600922,0.036016584241142006,-0.052866057097710195,0.036016584241142006,0.43470008353561146,0.5564336841454759
2021-12-31,2021-Q4,actual,7.159457345112474,2.221616134066684,1.522188229148066,0.19361606966247907,0.06611170426715463,0.19361606966247907,0.5600457296825081,0.9226059454753286
2022-03-31,2022-Q1,actual,8.540780148538584,1.4609446335187126,0.9833339855335793,-0.059525538671108276,-0.07667958548076104,-0.059525538671108276,0.48655859769762555,0.7411834026724483
2022-06-30,2022-Q2,actual,8.999298141923106,0.14531542797926456,-0.30886847516398114,-0.19946908377208644,-0.14920711735147763,-0.19946908377208644,0.3900880713459706,0.5887770632368546
2022-09-30,2022-Q3,actual,8.205751582451759,0.6907055272002971,-0.6440807691816424,-0.043347985479799296,0.028448473623674975,-0.043347985479799296,0.41506980495517104,0.5384475489916138
2022-12-31,2022-Q4,actual,6.410831677385809,-1.647790164643792,-0.4241304281122797,0.0951298416347974,-0.01037636819490717,0.0951298416347974,0.36905677983309154,0.5050669137194612
2023-03-31,2023-Q1,actual,4.931348641757127,0.9699823032488508,-0.15167338881286813,0.30872489085985705,0.12944213659606385,0.30872489085985705,0.6207670210751665,0.7409312815840943
2023-06-30,2023-Q2,actual,3.0592533347792994,-0.42153669285304174,0.3471632840870377,0.26353820420137797,0.1388375011761276,0.26353820420137797,0.5887316128776778,0.7574210501290563
2023-09-30,2023-Q3,actual,3.6950823322234427,0.9056376726518378,0.023312399886633983,-0.013361671418803563,-0.02128163591948884,-0.013361671418803563,0.4841459273466556,0.6283416993402778
2023-12-31,2023-Q4,actual,3.322200208829762,-0.6555149112218661,0.6101841671624687,0.11166798404004806,0.04483938959332767,0.11166798404004806,0.38949660661009244,0.6056311499105553
2024-03-31,2024-Q1,actual,3.4690014354717524,-0.10942123668407078,1.1296424570856725,0.2842420751049849,0.2175854625095881,0.2842420751049849,0.3865528024569749,0.6437015110342181
2024-06-30,2024-Q2,actual,2.9700853998204435,0.7167479852436376,1.2342153159120854,0.10897549816652774,0.07185072095497547,0.10897549816652774,0.3295232218860921,0.6093390247286569
2024-09-30,2024-Q3,actual,2.432541464144644,-0.6372671505248229,1.5449718666014558,0.013085088228615399,0.015634033710300255,0.013085088228615399,0.40095769708776496,0.5931450018634749
2024-12-31,2024-Q4,actual,2.872366268806581,0.4379338644812547,1.6248193158330975,0.05923571712217354,0.039864332796927915,0.05923571712217354,0.3793381102020618,0.5298545844061082
2025-03-31,2025-Q1,actual,2.4055852640280317,0.4814415491529278,1.1961158578355804,-0.07997867352951674,-0.08139370797232859,-0.07997867352951674,0.3732818145069136,0.5122374502082523
2025-06-30,2025-Q2,actual,2.6726833178446263,0.647763973235671,1.8323082200911909,0.13906780747468347,0.8431383804715102,0.13906780747468347,0.5095650415608036,0.8464734703145702
2025-12-31,2025-Q4,future,2.7832644671670104,0.1340393088319675,1.6055577944171104,0.18762728483273403,0.18762728483273403,0.10533521941330727,,
2026-03-31,2026-Q1,future,2.8551011506205293,0.16323384940499536,1.5104434118196106,0.17882423423572724,0.17882423423572724,0.10476752285557232,,
2026-06-30,2026-Q2,future,2.9200574703235227,0.1652952300432979,1.4257431719045108,0.17410722770296566,0.17410722770296566,0.10733389970804164,,
