symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
AAPL,1,Keep in portfolio,23,0,23,254.63,5856.49,0.0,5856.49,0.06403834018549664,6.403834018549665,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,219.57,10978.5,0.0,10978.5,0.12004543979866351,12.004543979866352,0.0,0.0
AVGO,1,Keep in portfolio,13,0,13,329.91,4288.83,0.0,4288.83,0.04689661461690595,4.689661461690595,0.0,0.0
BWMX,1,Keep in portfolio,80,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,22.6,3390.0,0.0,3390.0,0.037068273527118396,3.70682735271184,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,23.65,4020.4999999999995,0.0,4020.4999999999995,0.04396253501940398,4.396253501940398,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,186.58,9702.16,0.0,9702.16,0.10608918014273364,10.608918014273364,0.0,0.0
SPGI,1,Keep in portfolio,9,0,9,486.71,4380.389999999999,0.0,4380.389999999999,0.04789778603995697,4.789778603995697,0.0,0.0
ALIT,1,Increase,700,433,1133,3.26,2282.0,1411.58,3693.58,0.04038779756173863,4.038779756173863,0.06097885494982868,6.097885494982868
ARDT,1,Increase,190,96,286,13.25,2517.5,1272.0,3789.5,0.04143664381445875,4.143664381445875,0.05494913748861707,5.494913748861707
AXON,1,Increase,2,2,4,717.64,1435.28,1435.28,2870.56,0.03138840804011946,3.1388408040119464,0.06200267142662131,6.200267142662131
COP,1,Increase,25,14,39,94.59,2364.75,1324.26,3689.01,0.04033782646733777,4.033782646733777,0.057206717618456006,5.7206717618456
CVS,1,Increase,35,15,50,75.39,2638.65,1130.85,3769.5,0.04121795193524271,4.121795193524271,0.04885159758569387,4.8851597585693876
IDYA,1,Increase,41,81,122,27.21,1115.6100000000001,2204.01,3319.62,0.036298696804157156,3.6298696804157156,0.09521104443104318,9.521104443104319
INSW,1,Increase,22,50,72,46.08,1013.76,2304.0,3317.7599999999998,0.036278358459390064,3.6278358459390065,0.09953051318692903,9.953051318692903
MAX,1,Increase,180,136,316,11.38,2048.4,1547.68,3596.0800000000004,0.039321674650560454,3.9321674650560454,0.06685823986508087,6.685823986508087
MU,1,Increase,13,8,21,167.32,2175.16,1338.56,3513.72,0.0384211014919488,3.84211014919488,0.05782446342512835,5.782446342512835
PRCT,1,Increase,55,44,99,35.69,1962.9499999999998,1570.36,3533.31,0.038635310187640916,3.8635310187640917,0.0678379933542647,6.78379933542647
PRU,1,Increase,20,14,34,103.74,2074.7999999999997,1452.36,3527.16,0.03856806243478198,3.8568062434781982,0.06274051047403136,6.274051047403136
QUAD,1,Increase,155,378,533,6.26,970.3,2366.2799999999997,3336.58,0.03648414751773236,3.648414751773236,0.1022209473715132,10.22209473715132
RCI,1,Increase,28,68,96,34.47,965.16,2343.96,3309.12,0.036183883567568735,3.6183883567568733,0.10125674552501483,10.125674552501483
UAL,1,Increase,22,15,37,96.5,2123.0,1447.5,3570.5,0.03904196773704314,3.9041967737043137,0.06253056329777767,6.253056329777768
