symbol,in_portfolio,status,current_shares,add_shares,target_shares,price_run,current_value_usd,add_value_usd,target_value_usd,weight_total_100,weight_total_pct,weight_trades_100,weight_trades_pct
ALIT,1,Keep in portfolio,700,0,700,3.25,2275.0,0.0,2275.0,0.025770863156263528,2.5770863156263526,0.0,0.0
AMZN,1,Keep in portfolio,50,0,50,219.78,10989.0,0.0,10989.0,0.12448176493370545,12.448176493370546,0.0,0.0
ARDT,1,Keep in portfolio,190,0,190,13.26,2519.4,0.0,2519.4,0.028539390169622127,2.8539390169622125,0.0,0.0
COP,1,Keep in portfolio,25,0,25,98.48,2462.0,0.0,2462.0,0.027889171468448708,2.7889171468448706,0.0,0.0
COUR,1,Keep in portfolio,200,0,200,11.72,2344.0,0.0,2344.0,0.026552484939904048,2.655248493990405,0.0,0.0
CRTO,1,Keep in portfolio,150,0,150,22.25,3337.5,0.0,3337.5,0.037806705839133856,3.7806705839133854,0.0,0.0
CTRA,1,Keep in portfolio,170,0,170,23.83,4051.1,0.0,4051.1,0.04589026098124799,4.589026098124799,0.0,0.0
CVS,1,Keep in portfolio,35,0,35,75.77,2651.95,0.0,2651.95,0.030040896943847498,3.0040896943847497,0.0,0.0
DOX,1,Keep in portfolio,24,0,24,81.63,1959.12,0.0,1959.12,0.0221926212864611,2.2192621286461103,0.0,0.0
MAX,1,Keep in portfolio,180,0,180,12.04,2167.2,0.0,2167.2,0.024549720717474424,2.4549720717474424,0.0,0.0
MU,1,Keep in portfolio,13,0,13,157.27,2044.5100000000002,0.0,2044.5100000000002,0.02315990656334609,2.315990656334609,0.0,0.0
NVDA,1,Keep in portfolio,52,0,52,178.19,9265.88,0.0,9265.88,0.10496251670433367,10.496251670433367,0.0,0.0
PRCT,1,Keep in portfolio,55,0,55,36.66,2016.2999999999997,0.0,2016.2999999999997,0.022840347860208415,2.2840347860208414,0.0,0.0
PRU,1,Keep in portfolio,20,0,20,104.41,2088.2,0.0,2088.2,0.023654820414465712,2.365482041446571,0.0,0.0
UAL,1,Keep in portfolio,22,0,22,97.91,2154.02,0.0,2154.02,0.02440041962894715,2.440041962894715,0.0,0.0
AAPL,1,Increase,23,5,28,255.46,5875.58,1277.3,7152.88,0.08102676556183484,8.102676556183484,0.08660929329311952,8.660929329311951
AVGO,1,Increase,13,5,18,334.53,4348.889999999999,1672.6499999999999,6021.539999999999,0.06821111355163388,6.821111355163388,0.11341660880508601,11.341660880508602
AXON,1,Increase,2,5,7,708.84,1417.68,3544.2000000000003,4961.88,0.056207441968264125,5.620744196826412,0.2403199383774166,24.03199383774166
BWMX,1,Increase,80,86,166,12.82,1025.6,1102.52,2128.12,0.024107028263783532,2.4107028263783534,0.07475806626597521,7.475806626597521
IDYA,1,Increase,41,43,84,26.83,1100.03,1153.6899999999998,2253.72,0.025529806467048017,2.5529806467048015,0.07822772690780479,7.822772690780479
INSW,1,Increase,22,27,49,47.22,1038.84,1274.94,2313.7799999999997,0.02621015725437337,2.621015725437337,0.08644926985917938,8.644926985917937
QUAD,1,Increase,155,164,319,6.55,1015.25,1074.2,2089.45,0.023668980229386738,2.366898022938674,0.07283778505869333,7.283778505869333
RCI,1,Increase,28,34,62,35.66,998.4799999999999,1212.4399999999998,2210.9199999999996,0.025044974404152154,2.504497440415215,0.0822113611213574,8.22113611213574
SPGI,1,Increase,9,5,14,487.18,4384.62,2435.9,6820.52,0.07726184069211364,7.726184069211365,0.1651699503113676,16.516995031136762
